Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1651085842,2022-04-27T18:57:22Z,UAL127,"38.946621,-77.441498",287,16,278
1651085844,2022-04-27T18:57:24Z,UAL127,"38.94664,-77.441704",287,17,278
1651085848,2022-04-27T18:57:28Z,UAL127,"38.94659,-77.441917",287,15,266
1651085863,2022-04-27T18:57:43Z,UAL127,"38.946602,-77.444221",0,13,270
1651085881,2022-04-27T18:58:01Z,UAL127,"38.946613,-77.445297",0,9,270
1651085886,2022-04-27T18:58:06Z,UAL127,"38.946602,-77.445564",0,8,264
1651085895,2022-04-27T18:58:15Z,UAL127,"38.946392,-77.445724",0,6,202
1651085905,2022-04-27T18:58:25Z,UAL127,"38.946171,-77.445755",0,4,185
1651085931,2022-04-27T18:58:51Z,UAL127,"38.945824,-77.445763",0,1,182
1651112126,2022-04-28T02:15:26Z,UAL127,"38.945778,-77.445786",0,0,182
1651112260,2022-04-28T02:17:40Z,UAL127,"38.945988,-77.44577",0,1,185
1651112284,2022-04-28T02:18:04Z,UAL127,"38.94619,-77.445763",0,2,188
1651112309,2022-04-28T02:18:29Z,UAL127,"38.946392,-77.44574",0,1,213
1651112348,2022-04-28T02:19:08Z,UAL127,"38.946579,-77.445496",0,1,258
1651112554,2022-04-28T02:22:34Z,UAL127,"38.946682,-77.445747",0,6,289
1651112561,2022-04-28T02:22:41Z,UAL127,"38.946777,-77.445969",0,7,298
1651112569,2022-04-28T02:22:49Z,UAL127,"38.946941,-77.44632",0,9,300
1651112577,2022-04-28T02:22:57Z,UAL127,"38.947105,-77.446747",0,11,295
1651112583,2022-04-28T02:23:03Z,UAL127,"38.947208,-77.447144",0,11,286
1651112586,2022-04-28T02:23:06Z,UAL127,"38.947254,-77.447372",0,12,284
1651112590,2022-04-28T02:23:10Z,UAL127,"38.947277,-77.447617",0,12,278
1651112594,2022-04-28T02:23:14Z,UAL127,"38.947289,-77.447945",0,12,272
1651112598,2022-04-28T02:23:18Z,UAL127,"38.947289,-77.448181",0,12,270
1651112601,2022-04-28T02:23:21Z,UAL127,"38.947289,-77.448418",0,12,270
1651112604,2022-04-28T02:23:24Z,UAL127,"38.947289,-77.448685",0,13,270
1651112611,2022-04-28T02:23:31Z,UAL127,"38.9473,-77.449181",0,13,272
1651112616,2022-04-28T02:23:36Z,UAL127,"38.947311,-77.449615",0,13,270
1651112623,2022-04-28T02:23:43Z,UAL127,"38.947311,-77.450134",0,13,270
1651112629,2022-04-28T02:23:49Z,UAL127,"38.947323,-77.450584",0,14,270
1651112634,2022-04-28T02:23:54Z,UAL127,"38.947311,-77.451035",0,14,267
1651112638,2022-04-28T02:23:58Z,UAL127,"38.947266,-77.451324",0,14,255
1651112641,2022-04-28T02:24:01Z,UAL127,"38.947186,-77.451569",0,14,247
1651112647,2022-04-28T02:24:07Z,UAL127,"38.947025,-77.451988",0,13,241
1651112650,2022-04-28T02:24:10Z,UAL127,"38.946941,-77.452194",0,13,239
1651112655,2022-04-28T02:24:15Z,UAL127,"38.946808,-77.452492",0,12,241
1651112659,2022-04-28T02:24:19Z,UAL127,"38.94672,-77.452789",0,12,253
1651112663,2022-04-28T02:24:23Z,UAL127,"38.946693,-77.453033",0,12,261
1651112666,2022-04-28T02:24:26Z,UAL127,"38.946682,-77.453285",0,12,267
1651112672,2022-04-28T02:24:32Z,UAL127,"38.946682,-77.453644",0,12,270
1651112679,2022-04-28T02:24:39Z,UAL127,"38.946682,-77.454208",0,12,270
1651112683,2022-04-28T02:24:43Z,UAL127,"38.946682,-77.454437",0,12,270
1651112689,2022-04-28T02:24:49Z,UAL127,"38.946686,-77.454865",0,11,270
1651112693,2022-04-28T02:24:53Z,UAL127,"38.946693,-77.455139",0,10,270
1651112698,2022-04-28T02:24:58Z,UAL127,"38.946693,-77.455406",0,9,270
1651112702,2022-04-28T02:25:02Z,UAL127,"38.946674,-77.455627",0,8,261
1651112707,2022-04-28T02:25:07Z,UAL127,"38.946579,-77.455841",0,8,241
1651112714,2022-04-28T02:25:14Z,UAL127,"38.946373,-77.456017",0,8,210
1651112720,2022-04-28T02:25:20Z,UAL127,"38.946125,-77.45607",0,9,188
1651112727,2022-04-28T02:25:27Z,UAL127,"38.945835,-77.456093",0,9,182
1651112732,2022-04-28T02:25:32Z,UAL127,"38.945614,-77.4561",0,9,180
1651112738,2022-04-28T02:25:38Z,UAL127,"38.945389,-77.456108",0,9,180
1651112743,2022-04-28T02:25:43Z,UAL127,"38.94516,-77.456108",0,9,180
1651112748,2022-04-28T02:25:48Z,UAL127,"38.94495,-77.4561",0,10,180
1651112764,2022-04-28T02:26:04Z,UAL127,"38.944347,-77.456123",0,8,180
1651112769,2022-04-28T02:26:09Z,UAL127,"38.94413,-77.456123",0,6,180
1651112777,2022-04-28T02:26:17Z,UAL127,"38.943901,-77.456123",0,7,180
1651112786,2022-04-28T02:26:26Z,UAL127,"38.943588,-77.456131",0,7,180
1651112794,2022-04-28T02:26:34Z,UAL127,"38.943344,-77.456131",0,7,180
1651112803,2022-04-28T02:26:43Z,UAL127,"38.943031,-77.456131",0,8,180
1651112809,2022-04-28T02:26:49Z,UAL127,"38.942814,-77.456139",0,8,180
1651112815,2022-04-28T02:26:55Z,UAL127,"38.942596,-77.456139",0,8,180
1651112890,2022-04-28T02:28:10Z,UAL127,"38.94231,-77.456154",0,4,180
1651112900,2022-04-28T02:28:20Z,UAL127,"38.942089,-77.456146",0,5,180
1651112908,2022-04-28T02:28:28Z,UAL127,"38.941875,-77.456154",0,6,180
1651112917,2022-04-28T02:28:37Z,UAL127,"38.941624,-77.456154",0,6,180
1651112928,2022-04-28T02:28:48Z,UAL127,"38.941406,-77.456169",0,3,180
1651112943,2022-04-28T02:29:03Z,UAL127,"38.941204,-77.456161",0,3,180
1651112955,2022-04-28T02:29:15Z,UAL127,"38.940994,-77.456161",0,4,180
1651112967,2022-04-28T02:29:27Z,UAL127,"38.940731,-77.456169",0,5,180
1651112976,2022-04-28T02:29:36Z,UAL127,"38.940525,-77.456169",0,5,180
1651112986,2022-04-28T02:29:46Z,UAL127,"38.940285,-77.456184",0,3,180
1651113047,2022-04-28T02:30:47Z,UAL127,"38.940067,-77.456184",0,5,180
1651113056,2022-04-28T02:30:56Z,UAL127,"38.939796,-77.456177",0,7,180
1651113064,2022-04-28T02:31:04Z,UAL127,"38.939529,-77.456184",0,7,180
1651113075,2022-04-28T02:31:15Z,UAL127,"38.939186,-77.456184",0,7,180
1651113084,2022-04-28T02:31:24Z,UAL127,"38.938889,-77.456192",0,8,180
1651113094,2022-04-28T02:31:34Z,UAL127,"38.938488,-77.456192",0,7,180
1651113101,2022-04-28T02:31:41Z,UAL127,"38.938271,-77.456192",0,5,180
1651113164,2022-04-28T02:32:44Z,UAL127,"38.938026,-77.456192",0,4,180
1651113173,2022-04-28T02:32:53Z,UAL127,"38.937824,-77.456192",0,5,180
1651113180,2022-04-28T02:33:00Z,UAL127,"38.937618,-77.456192",0,6,180
1651113188,2022-04-28T02:33:08Z,UAL127,"38.937401,-77.456192",0,6,180
1651113197,2022-04-28T02:33:17Z,UAL127,"38.937187,-77.456146",0,4,168
1651113224,2022-04-28T02:33:44Z,UAL127,"38.936943,-77.455948",0,2,143
1651113255,2022-04-28T02:34:15Z,UAL127,"38.936768,-77.455719",0,1,135
1651113301,2022-04-28T02:35:01Z,UAL127,"38.936569,-77.455429",0,5,132
1651113360,2022-04-28T02:36:00Z,UAL127,"38.936314,-77.455093",0,0,137
1651113378,2022-04-28T02:36:18Z,UAL127,"38.936005,-77.454971",0,5,171
1651113389,2022-04-28T02:36:29Z,UAL127,"38.935768,-77.455032",0,5,194
1651113416,2022-04-28T02:36:56Z,UAL127,"38.936256,-77.455048",0,1,196
1651113473,2022-04-28T02:37:53Z,UAL127,"38.935581,-77.455124",0,4,196
1651113484,2022-04-28T02:38:04Z,UAL127,"38.935329,-77.455238",0,6,199
1651113540,2022-04-28T02:39:00Z,UAL127,"38.935066,-77.455376",0,3,202
1651113553,2022-04-28T02:39:13Z,UAL127,"38.934826,-77.455498",0,5,202
1651113570,2022-04-28T02:39:30Z,UAL127,"38.934605,-77.455597",0,2,199
1651113581,2022-04-28T02:39:41Z,UAL127,"38.934402,-77.455688",0,8,199
1651113587,2022-04-28T02:39:47Z,UAL127,"38.934151,-77.455811",0,11,202
1651113597,2022-04-28T02:39:57Z,UAL127,"38.933849,-77.45607",0,8,222
1651113603,2022-04-28T02:40:03Z,UAL127,"38.933796,-77.456299",0,7,255
1651113610,2022-04-28T02:40:10Z,UAL127,"38.93383,-77.456581",0,6,281
1651113617,2022-04-28T02:40:17Z,UAL127,"38.933884,-77.456802",0,6,286
1651113632,2022-04-28T02:40:32Z,UAL127,"38.934383,-77.458496",0,44,292
1651113636,2022-04-28T02:40:36Z,UAL127,"38.934662,-77.459427",0,58,292
1651113637,2022-04-28T02:40:37Z,UAL127,"38.934872,-77.460129",0,67,292
1651113657,2022-04-28T02:40:57Z,UAL127,"38.937317,-77.468506",150,128,290
1651113667,2022-04-28T02:41:07Z,UAL127,"38.940948,-77.480713",175,174,290
1651113672,2022-04-28T02:41:12Z,UAL127,"38.942482,-77.486206",325,176,290
1651113681,2022-04-28T02:41:21Z,UAL127,"38.945297,-77.494812",700,176,297
1651113684,2022-04-28T02:41:24Z,UAL127,"38.946487,-77.497383",850,175,302
1651113687,2022-04-28T02:41:27Z,UAL127,"38.948025,-77.5",1025,173,306
1651113690,2022-04-28T02:41:30Z,UAL127,"38.949509,-77.502098",1200,169,314
1651113693,2022-04-28T02:41:33Z,UAL127,"38.951294,-77.504189",1325,169,320
1651113696,2022-04-28T02:41:36Z,UAL127,"38.95319,-77.506042",1450,169,325
1651113699,2022-04-28T02:41:39Z,UAL127,"38.955322,-77.507767",1575,170,329
1651113702,2022-04-28T02:41:42Z,UAL127,"38.9571,-77.509094",1675,173,331
1651113705,2022-04-28T02:41:45Z,UAL127,"38.959614,-77.510742",1750,175,332
