Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1651114711,2022-04-28T02:58:31Z,RPA5778,"40.771866,-73.864197",0,3,230
1651114726,2022-04-28T02:58:46Z,RPA5778,"40.772015,-73.863983",0,3,225
1651114758,2022-04-28T02:59:18Z,RPA5778,"40.772346,-73.863503",0,3,247
1651114774,2022-04-28T02:59:34Z,RPA5778,"40.772381,-73.863235",0,2,281
1651114791,2022-04-28T02:59:51Z,RPA5778,"40.772301,-73.863022",0,2,312
1651114919,2022-04-28T03:01:59Z,RPA5778,"40.772358,-73.863434",0,0,317
1651114949,2022-04-28T03:02:29Z,RPA5778,"40.772232,-73.862915",0,0,317
1651114974,2022-04-28T03:02:54Z,RPA5778,"40.772518,-73.863068",0,7,351
1651114980,2022-04-28T03:03:00Z,RPA5778,"40.772736,-73.863052",0,7,2
1651114993,2022-04-28T03:03:13Z,RPA5778,"40.773129,-73.863297",0,8,315
1651114999,2022-04-28T03:03:19Z,RPA5778,"40.773266,-73.863548",0,9,303
1651115009,2022-04-28T03:03:29Z,RPA5778,"40.773499,-73.864052",0,10,303
1651115015,2022-04-28T03:03:35Z,RPA5778,"40.773663,-73.86438",0,10,303
1651115019,2022-04-28T03:03:39Z,RPA5778,"40.773766,-73.864594",0,10,303
1651115029,2022-04-28T03:03:49Z,RPA5778,"40.774017,-73.865128",0,10,303
1651115035,2022-04-28T03:03:55Z,RPA5778,"40.774162,-73.86544",0,10,303
1651115051,2022-04-28T03:04:11Z,RPA5778,"40.774548,-73.866234",0,10,300
1651115057,2022-04-28T03:04:17Z,RPA5778,"40.774708,-73.866577",0,9,303
1651115064,2022-04-28T03:04:24Z,RPA5778,"40.774837,-73.866859",0,9,303
1651115070,2022-04-28T03:04:30Z,RPA5778,"40.774944,-73.867096",0,6,303
1651115078,2022-04-28T03:04:38Z,RPA5778,"40.77507,-73.86731",0,4,306
1651115099,2022-04-28T03:04:59Z,RPA5778,"40.7752,-73.867516",0,1,309
1651115182,2022-04-28T03:06:22Z,RPA5778,"40.775467,-73.86795",0,9,306
1651115189,2022-04-28T03:06:29Z,RPA5778,"40.775654,-73.868309",0,12,303
